PÄŒ. ; Duration ; Kolo
1 ; 00:00:06.925 ; 00:00:06.925
2 ; 00:00:57.528 ; 00:00:50.603
3 ; 00:01:12.147 ; 00:00:14.619
4 ; 00:01:21.596 ; 00:00:09.449
5 ; 00:01:55.070 ; 00:00:33.474
6 ; 00:02:28.454 ; 00:00:33.384
7 ; 00:02:47.769 ; 00:00:19.315
8 ; 00:02:53.559 ; 00:00:05.790
9 ; 00:03:19.893 ; 00:00:26.334
10 ; 00:03:30.939 ; 00:00:11.046
11 ; 00:03:32.455 ; 00:00:01.516
12 ; 00:04:14.693 ; 00:00:42.238
13 ; 00:04:16.258 ; 00:00:01.565
14 ; 00:04:18.501 ; 00:00:02.243
15 ; 00:04:20.731 ; 00:00:02.230
16 ; 00:04:33.590 ; 00:00:12.859
17 ; 00:04:55.170 ; 00:00:21.580
18 ; 00:04:59.072 ; 00:00:03.902
19 ; 00:05:09.010 ; 00:00:09.938
20 ; 00:05:15.597 ; 00:00:06.587
21 ; 00:06:00.179 ; 00:00:44.582
22 ; 00:06:01.595 ; 00:00:01.416
23 ; 00:07:32.956 ; 00:01:31.361
24 ; 00:07:51.491 ; 00:00:18.535
25 ; 00:07:57.293 ; 00:00:05.802
26 ; 00:08:02.703 ; 00:00:05.410
27 ; 00:08:06.028 ; 00:00:03.325
28 ; 00:08:42.426 ; 00:00:36.398
29 ; 00:08:50.544 ; 00:00:08.118
30 ; 00:08:51.828 ; 00:00:01.284
31 ; 00:08:54.105 ; 00:00:02.277
32 ; 00:09:26.094 ; 00:00:31.989
33 ; 00:09:42.880 ; 00:00:16.786
34 ; 00:10:44.382 ; 00:01:01.502
35 ; 00:11:09.004 ; 00:00:24.622
36 ; 00:11:32.714 ; 00:00:23.710
37 ; 00:11:43.409 ; 00:00:10.695
38 ; 00:12:10.999 ; 00:00:27.590
39 ; 00:12:33.862 ; 00:00:22.863
40 ; 00:12:35.893 ; 00:00:02.031
41 ; 00:12:57.173 ; 00:00:21.280
42 ; 00:13:49.389 ; 00:00:52.216
43 ; 00:13:55.294 ; 00:00:05.905
44 ; 00:14:13.782 ; 00:00:18.488
45 ; 00:14:34.820 ; 00:00:21.038
46 ; 00:14:40.227 ; 00:00:05.407
47 ; 00:14:47.069 ; 00:00:06.842
48 ; 00:14:52.724 ; 00:00:05.655
49 ; 00:14:57.162 ; 00:00:04.438
50 ; 00:15:23.281 ; 00:00:26.119
51 ; 00:16:11.611 ; 00:00:48.330
52 ; 00:16:19.594 ; 00:00:07.983
53 ; 00:16:33.367 ; 00:00:13.773
54 ; 00:16:35.365 ; 00:00:01.998
55 ; 00:16:39.023 ; 00:00:03.658
56 ; 00:17:13.213 ; 00:00:34.190
57 ; 00:17:15.010 ; 00:00:01.797
58 ; 00:17:59.028 ; 00:00:44.018
59 ; 00:18:01.287 ; 00:00:02.259
60 ; 00:18:17.989 ; 00:00:16.702
61 ; 00:18:21.998 ; 00:00:04.009
62 ; 00:18:24.417 ; 00:00:02.419
63 ; 00:18:44.092 ; 00:00:19.675
64 ; 00:19:02.191 ; 00:00:18.099
65 ; 00:19:04.054 ; 00:00:01.863
66 ; 00:19:33.201 ; 00:00:29.147
67 ; 00:19:36.829 ; 00:00:03.628
68 ; 00:19:44.927 ; 00:00:08.098
69 ; 00:20:25.801 ; 00:00:40.874
70 ; 00:20:27.849 ; 00:00:02.048
71 ; 00:20:39.926 ; 00:00:12.077
72 ; 00:21:12.981 ; 00:00:33.055